track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,release_date,song_age,stream_group,bpm_group,energy_group,dance_group,song_type,platform_score,hit_score,cross_platform_success,streams_log
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,19,896,0,57089066.0,34,2,33,0,1.0,126,C#,Major,78,20,70,1,0,16,4,2023-05-19,0,low,fast,mid_energy,high_dance,party_song,966.0,45671342.400000006,963,17.86012318518998
Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797.0,51,43,38,10,1.0,97,A#,Major,73,10,44,26,0,16,8,2022-10-21,1,high,medium,mid_energy,high_dance,sad_song,3914.0,390709814.70000005,3852,20.006618268713446
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,0,32761689.0,3,10,3,0,0.0,101,F,Major,92,59,51,41,51,26,8,2023-06-02,0,low,medium,mid_energy,high_dance,other,213.0,26209370.900000002,203,17.304770402920152
Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053.0,34,65,43,6,2.0,98,G,Minor,80,23,48,14,0,6,5,2022-05-06,1,high,medium,mid_energy,high_dance,sad_song,4187.0,837984446.1,4081,20.76965316805183
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,5,153454328.0,8,57,76,2,49.0,154,F#,Major,59,63,89,18,0,80,9,2023-01-27,0,low,fast,high_energy,mid_dance,other,1181.0,122763561.30000001,1068,18.848913549775787
Cupido,Tini,1,2023,2,14,1240,24,217672943.0,51,29,63,4,54.0,120,A,Major,91,63,58,52,0,31,22,2023-02-14,0,mid,medium,mid_energy,high_dance,other,1465.0,174138480.8,1354,19.198504237360428
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829.0,72,27,47,0,0.0,150,B,Major,49,4,55,7,0,6,3,2022-10-17,1,mid,fast,mid_energy,mid_dance,sad_song,4154.0,365748264.00000006,4114,19.94059830910698
Unstoppable,Sia,1,2016,1,21,7681,13,939844851.0,119,66,1145,2,0.0,174,A,Major,47,27,78,11,0,10,8,2016-01-21,7,high,fast,high_energy,mid_dance,sad_song,9026.0,751876650.2,8945,20.66122536854207
Until I Found You,Stephen Sanchez,1,2021,9,1,4427,4,726434358.0,69,100,154,20,438.0,202,A#,Major,34,25,51,69,0,18,4,2021-09-01,2,high,fast,mid_energy,low_dance,sad_song,5212.0,581147929.5,4650,20.40365868451819
Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,573633020.0,84,84,42,0,23.0,153,B,Minor,56,42,52,5,0,36,24,2022-11-04,1,high,fast,mid_energy,mid_dance,other,4908.0,458906883.5,4783,20.167500413584342
Easy On Me,Adele,1,2021,10,14,10195,20,1406111294.0,258,87,657,22,9.0,142,F,Major,60,13,37,58,0,13,3,2021-10-14,2,high,fast,low_energy,mid_dance,sad_song,11248.0,1124890056.7,11110,21.06409378438562
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,5,11,269,4,71573339.0,7,2,30,1,11.0,108,A,Minor,84,55,47,26,0,20,64,2023-05-11,0,low,medium,mid_energy,high_dance,other,324.0,57258698.5,306,18.086233216224038
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,0,24975653.0,3,3,6,0,0.0,143,B,Major,83,25,69,4,0,23,12,2023-06-02,0,low,fast,mid_energy,high_dance,sad_song,226.0,19980543.8,223,17.033412068342226
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14,845,2,145458418.0,12,57,47,1,33.0,108,D,Major,67,55,67,60,0,80,5,2023-02-14,0,low,medium,mid_energy,mid_dance,other,997.0,116366819.10000001,904,18.79540082366419
The Real Slim Shady,Eminem,1,2000,1,1,20763,27,1424589568.0,81,53,3271,1,17.0,104,F,Minor,95,78,66,3,0,4,6,2000-01-01,23,high,medium,mid_energy,high_dance,other,24213.0,1139673733.4,24115,21.07714958742641
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,231332117.0,41,22,56,4,84.0,93,F#,Minor,84,96,79,43,0,18,11,2022-12-16,1,mid,medium,high_energy,high_dance,party_song,1494.0,185065822.3,1364,19.259364976186863
The Color Violet,Tory Lanez,1,2021,12,10,2585,32,415932686.0,3,79,21,1,54.0,105,F#,Minor,65,46,53,16,0,9,5,2021-12-10,2,mid,medium,mid_energy,mid_dance,other,2775.0,332746410.5,2609,19.846033995036716
Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741.0,109,42,158,3,31.0,170,G#,Major,44,27,32,89,0,14,5,2022-06-10,1,high,fast,low_energy,mid_dance,chill_song,6679.0,790813226.4000001,6597,20.71171512558724
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,50847624.0,9,13,11,0,1.0,178,C#,Minor,62,56,66,18,0,12,5,2023-05-04,0,low,fast,mid_energy,mid_dance,other,710.0,40678166.800000004,695,17.74434397337005
Curtains,Ed Sheeran,1,2023,5,5,715,0,39893489.0,37,3,27,0,50.0,176,F#,Minor,50,44,76,10,0,32,5,2023-05-05,0,low,fast,high_energy,mid_dance,other,832.0,31914862.700000003,779,17.501723710653657
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,92035115.0,14,110,9,0,49.0,104,E,Minor,80,38,88,11,0,11,5,2023-05-01,0,low,medium,high_energy,high_dance,party_song,522.0,73628126.0,350,18.337680757838235
Haegeum,Agust D,1,2023,4,21,244,12,118810253.0,6,84,10,2,9.0,85,G,Major,70,83,84,31,0,47,30,2023-04-21,0,low,slow,high_energy,mid_dance,party_song,367.0,95048228.00000001,260,18.593038274299367
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,4,30,385,4,77233241.0,17,7,41,1,29.0,117,F#,Minor,77,69,58,39,0,26,5,2023-04-30,0,low,medium,mid_energy,high_dance,other,484.0,61786631.7,443,18.162340518170137
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,35,206399629.0,15,26,30,6,0.0,80,Unknown,Major,52,57,48,86,0,15,39,2023-02-24,0,mid,slow,mid_energy,mid_dance,chill_song,1132.0,165119808.70000002,1065,19.145324798934418
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907.0,46,5,51,0,20.0,98,F,Major,44,36,41,50,0,38,5,2023-04-07,0,low,medium,mid_energy,mid_dance,other,1855.0,94198498.9,1827,18.584056524248624
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,2127,33,266624541.0,45,80,53,8,4.0,178,C#,Minor,79,58,78,34,0,11,25,2023-02-02,0,mid,fast,high_energy,high_dance,party_song,2350.0,213299848.8,2225,19.40135201698591
ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,293186992.0,67,55,48,0,6.0,148,A,Major,51,27,33,48,0,22,3,2022-04-08,1,mid,fast,low_energy,mid_dance,sad_song,3427.0,234549918.70000002,3357,19.496321164782643
Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964.0,15,93,30,0,320.0,120,D,Major,77,94,66,65,0,38,3,2023-02-24,0,low,medium,mid_energy,high_dance,other,994.0,111745624.8,571,18.75487871782603
I AM,IVE,1,2023,4,10,366,15,123132751.0,16,102,7,0,55.0,122,E,Minor,68,38,88,1,0,8,5,2023-04-10,0,low,fast,high_energy,mid_dance,other,561.0,98506238.9,389,18.628773615880696
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,1,1997,1,1,472,2,103762518.0,0,0,6,0,0.0,144,F,Major,74,75,73,42,0,9,4,1997-01-01,26,low,fast,high_energy,high_dance,party_song,480.0,83010061.80000001,478,18.45761537485588
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,162887075.0,8,14,12,2,33.0,96,D,Major,93,47,47,33,0,10,36,2023-03-04,0,low,medium,mid_energy,high_dance,other,513.0,130309704.4,452,18.90856773340835
Super,SEVENTEEN,1,2023,4,24,271,12,91221625.0,16,103,9,0,55.0,137,G#,Major,77,35,88,16,0,17,9,2023-04-24,0,low,fast,high_energy,high_dance,party_song,466.0,72977328.3,296,18.328802554127332
Slut Me Out,NLE Choppa,1,2022,4,22,816,4,190490915.0,21,4,13,0,4.0,121,F#,Minor,94,71,61,12,0,53,42,2022-04-22,1,mid,fast,mid_energy,high_dance,other,862.0,152392814.0,850,19.065115066354693
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0,96180277.0,36,65,28,0,0.0,119,A,Minor,60,10,57,1,0,50,3,2023-04-21,0,low,medium,mid_energy,mid_dance,sad_song,1298.0,76944338.50000001,1233,18.38173488422342
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616.0,26,6,19,0,5.0,96,D,Major,72,40,47,71,0,13,4,2019-08-23,4,mid,medium,mid_energy,high_dance,chill_song,1344.0,148192621.6,1327,19.03716617038536
PROVENZA,Karol G,1,2022,4,21,6587,34,885093467.0,114,104,147,11,20.0,111,C#,Major,87,53,52,66,1,11,5,2022-04-21,1,high,medium,mid_energy,high_dance,other,7017.0,708075435.7,6848,20.601203810954807
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,104992946.0,0,0,0,0,0.0,148,A,Major,90,74,68,14,0,10,19,2023-04-14,0,low,fast,mid_energy,high_dance,other,1448.0,83994501.60000002,1444,18.469403734437126
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147290338.0,4,64,4,2,37.0,182,A,Major,57,80,59,8,0,6,5,2023-02-03,0,low,fast,mid_energy,mid_dance,other,477.0,117832307.0,364,18.80791629204499
Shivers,Ed Sheeran,1,2021,9,9,10147,30,1302184087.0,234,71,543,18,0.0,141,D,Major,79,82,86,28,0,4,9,2021-09-09,2,high,fast,high_energy,high_dance,party_song,11043.0,1041748287.3000001,10924,20.98730875937123
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,158950978.0,8,84,5,1,4.0,145,E,Minor,76,80,81,19,0,6,9,2022-12-30,1,low,fast,high_energy,high_dance,party_song,373.0,127160809.5,278,18.88410640447167
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,9,76910644.0,16,90,10,0,64.0,110,B,Minor,76,26,70,1,0,41,6,2023-04-25,0,low,medium,mid_energy,high_dance,party_song,540.0,61528551.2,377,18.158154851423763
Komang,Raim Laode,1,2022,8,16,158,4,137123880.0,5,6,1,1,18.0,134,G,Major,70,35,41,41,0,10,3,2022-08-16,1,low,fast,mid_energy,mid_dance,other,193.0,109699120.2,164,18.736395316088814
DESPECHï¿,ROSALï¿½,1,2022,7,28,7613,33,782369383.0,180,90,422,15,55.0,130,G,Major,92,78,62,18,0,6,10,2022-07-28,1,high,fast,mid_energy,high_dance,other,8408.0,625896270.9999999,8215,20.477837545039904
Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952.0,142,23,127,3,16.0,145,A#,Major,84,88,53,35,0,8,7,2022-10-21,1,high,fast,mid_energy,high_dance,other,4273.0,402060357.8000001,4225,20.035255346973234
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10,207033255.0,0,0,21,0,0.0,130,B,Minor,69,36,90,1,10,15,4,2023-02-05,0,mid,fast,high_energy,mid_dance,other,1669.0,165626768.8,1659,19.14838999533052
No Se Va,Grupo Frontera,1,2022,4,28,924,18,404887295.0,17,80,22,9,38.0,173,Unknown,Major,59,69,53,12,0,23,3,2022-04-28,1,mid,fast,mid_energy,mid_dance,other,1108.0,323909930.2,963,19.819119304861854
Punto G,Quevedo,1,2022,11,4,1985,35,381161027.0,34,26,37,5,1.0,92,B,Minor,75,55,76,25,0,10,15,2022-11-04,1,mid,medium,high_energy,high_dance,party_song,2123.0,304929023.6,2056,19.75873248947074
Lovers Rock,TV Girl,1,2014,6,5,6339,13,466231982.0,3,1,36,1,37.0,105,F,Minor,56,57,87,0,1,10,4,2014-06-05,9,mid,medium,high_energy,mid_dance,other,6430.0,372986220.8,6378,19.960193885816416
METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,357580552.0,18,78,24,0,30.0,175,G,Minor,59,15,64,43,90,12,10,2021-11-25,2,mid,fast,mid_energy,mid_dance,sad_song,1735.0,286064600.1,1603,19.69487121779383
Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,4,61105704.0,17,13,27,0,43.0,120,G,Minor,80,33,70,22,0,9,4,2023-04-27,0,low,medium,mid_energy,high_dance,party_song,979.0,48884651.1,919,17.928115791305068
En Paris,"El Chachito, Junior H",2,2022,12,24,406,5,198275403.0,3,31,2,1,0.0,139,D#,Minor,70,77,48,37,0,12,5,2022-12-24,1,mid,fast,mid_energy,mid_dance,other,448.0,158620363.5,411,19.10516755150566
Set Me Free Pt.2,Jimin,1,2023,3,17,340,13,168448603.0,4,71,16,1,9.0,132,Unknown,Minor,59,56,82,12,0,12,6,2023-03-17,0,low,fast,high_energy,mid_dance,other,454.0,134758917.70000002,360,18.94214124045688
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,705469769.0,30,70,142,0,27.0,114,A#,Major,32,17,74,14,0,17,3,2018-03-29,5,high,medium,high_energy,low_dance,sad_song,4472.0,564376235.5,4360,20.374374479295863
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,0,34502215.0,5,9,5,0,0.0,145,B,Minor,54,19,48,36,0,37,5,2023-05-04,0,low,fast,mid_energy,mid_dance,sad_song,124.0,27601782.5,115,17.356534111822867
Shut Down,BLACKPINK,1,2022,9,16,1524,17,482175240.0,53,120,62,0,2.0,110,Unknown,Major,82,67,69,0,0,18,4,2022-09-16,1,high,medium,mid_energy,high_dance,other,1778.0,385740346.09999996,1639,19.99381817647854
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,304118600.0,21,55,32,3,0.0,94,G#,Major,89,61,66,17,0,36,16,2022-12-22,1,mid,medium,mid_energy,high_dance,other,2792.0,243295148.1,2704,19.532928318156095
Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467.0,151,107,801,1,105.0,134,C#,Major,45,17,60,21,0,33,4,2018-03-29,5,high,fast,mid_energy,mid_dance,sad_song,12258.0,1159840682.9,12039,21.09469108588382
Like Crazy (English Version),Jimin,1,2023,3,24,373,19,173627354.0,4,72,5,0,5.0,120,G,Major,62,32,76,0,0,39,4,2023-03-24,0,low,medium,high_energy,mid_dance,other,478.0,138901922.40000004,382,18.9724219226617
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,2,200,4,90025258.0,8,77,2,1,1.0,123,G,Minor,70,86,68,24,0,11,4,2023-02-02,0,low,fast,mid_energy,mid_dance,other,293.0,72020226.80000001,210,18.315600844473693
Sunroof,"Nicky Youre, Dazy",2,2021,12,3,3741,17,652704649.0,156,35,110,19,0.0,131,A#,Major,77,84,71,35,0,15,4,2021-12-03,2,high,fast,high_energy,high_dance,party_song,4078.0,522164095.00000006,4007,20.296635287833173
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,21,1829992958.0,247,54,5567,1,51.0,171,D,Major,70,6,73,1,0,36,26,2002-01-01,21,high,fast,high_energy,mid_dance,party_song,38443.0,1463997618.7,38316,21.327577956251357
Superman,"Eminem, Dina Rae",2,2002,5,26,7615,14,655466831.0,18,51,1005,0,0.0,130,E,Minor,80,64,76,2,0,20,6,2002-05-26,21,high,fast,high_energy,high_dance,party_song,8703.0,524374227.7,8638,20.300858260345496
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,146409671.0,10,41,20,0,1.0,94,B,Major,82,53,67,34,0,9,8,2023-03-02,0,low,medium,mid_energy,high_dance,other,1314.0,117127861.00000001,1238,18.801919222883022
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4,95816024.0,4,45,11,2,24.0,89,G,Minor,73,44,57,39,0,32,6,2023-04-07,0,low,slow,mid_energy,high_dance,other,299.0,76652840.50000001,224,18.377940504526205
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995.0,20,8,15,0,6.0,87,F,Minor,65,71,56,4,0,15,20,2023-03-17,0,low,slow,mid_energy,mid_dance,other,1293.0,93765720.4,1270,18.579452126158404
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,3,100409613.0,11,3,18,1,1.0,124,B,Minor,72,79,78,55,0,15,30,2023-03-22,0,low,fast,high_energy,high_dance,party_song,691.0,80327756.10000001,683,18.424768517609607
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,0,80758350.0,23,0,18,0,33.0,78,G#,Major,71,80,65,51,0,22,32,2023-03-27,0,low,slow,mid_energy,high_dance,other,1553.0,64606827.9,1520,18.206971932676428
10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,1,4942,26,325592432.0,190,104,147,18,63.0,120,G#,Major,70,70,79,7,0,18,10,2022-11-01,1,mid,medium,high_energy,mid_dance,party_song,5490.0,260474442.4,5279,19.601156951650612
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,0,58473276.0,8,1,13,0,0.0,96,F#,Minor,48,50,80,40,0,37,20,2023-03-31,0,low,medium,high_energy,mid_dance,other,731.0,46778691.7,730,17.884080404416814
HAPPY,NF,1,2023,3,25,660,0,52722996.0,22,7,11,0,78.0,106,G,Major,73,22,86,31,0,12,4,2023-03-25,0,low,medium,high_energy,high_dance,party_song,778.0,42178462.800000004,693,17.780562294038976
La Bebe,Yng Lvcas,1,2021,12,24,489,17,191945597.0,4,11,5,1,2.0,170,D,Minor,78,75,46,62,0,12,35,2021-12-24,2,mid,fast,mid_energy,high_dance,chill_song,529.0,153556528.2,498,19.07272254609263
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,0,77377503.0,16,15,5,0,1.0,134,B,Minor,67,11,76,8,47,30,7,2023-03-24,0,low,fast,high_energy,mid_dance,sad_song,444.0,61902043.10000001,428,18.16420665031939
Late Night Talking,Harry Styles,1,2022,5,20,7461,8,743693613.0,166,42,199,16,58.0,115,A#,Major,71,90,73,30,0,11,5,2022-05-20,1,high,medium,high_energy,high_dance,party_song,7950.0,594955637.3,7826,20.42713969884091
Leï¿½,Marï¿½ï¿½lia Mendo,1,2022,12,9,993,4,267789608.0,30,84,88,1,28.0,130,F#,Major,74,79,87,45,0,30,3,2022-12-09,1,mid,fast,high_energy,high_dance,party_song,1228.0,214231786.10000002,1111,19.40571218912427
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,3,20,9161,5,1221813483.0,240,98,468,3,10.0,118,Unknown,Major,65,63,79,3,0,10,3,2020-03-20,3,high,medium,high_energy,mid_dance,other,9985.0,977451703.0000001,9869,20.923602054295177
Something in the Orange,Zach Bryan,1,2022,4,22,3282,12,449701773.0,67,84,46,16,117.0,110,G,Major,59,22,38,42,0,12,3,2022-04-22,1,mid,medium,low_energy,mid_dance,sad_song,3624.0,359761747.8,3395,19.924095196585277
VOID,Melanie Martinez,1,2023,3,29,596,0,67070410.0,29,9,12,0,52.0,100,A,Major,72,42,66,18,4,19,4,2023-03-29,0,low,medium,mid_energy,high_dance,other,698.0,53656387.6,637,18.021253535983192
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,116334601.0,5,48,2,1,9.0,142,G,Minor,70,76,79,26,0,11,7,2023-03-14,0,low,fast,high_energy,mid_dance,party_song,391.0,93067713.4,327,18.571981096883253
Midnight Rain,Taylor Swift,1,2022,10,21,2612,4,433356509.0,19,29,21,0,0.0,140,Unknown,Major,64,18,37,72,0,12,7,2022-10-21,1,mid,fast,low_energy,mid_dance,chill_song,2685.0,346685468.8,2652,19.887071295930927
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4,165584767.0,81,27,66,9,444.0,116,G,Major,90,96,73,62,0,9,4,2023-02-10,0,low,medium,high_energy,high_dance,party_song,2671.0,132468018.00000001,2187,18.924993815008623
You Proof,Morgan Wallen,1,2022,5,13,2128,9,367814306.0,37,88,9,0,14.0,120,A,Major,73,64,85,25,0,61,3,2022-05-13,1,mid,medium,high_energy,high_dance,party_song,2285.0,294251658.5,2174,19.72308876823603
LA INOCENTE,"Feid, Mora",2,2022,4,1,2598,37,477033549.0,28,57,43,8,85.0,92,F,Minor,76,46,79,31,0,7,6,2022-04-01,1,high,medium,high_energy,high_dance,party_song,2856.0,381627102.70000005,2669,19.983097381808964
Malas Decisiones,Kenia OS,1,2022,10,26,542,2,156214700.0,23,2,21,0,0.0,110,G#,Minor,81,64,79,5,0,31,3,2022-10-26,1,low,medium,high_energy,high_dance,party_song,590.0,124971814.4,586,18.866741907458465
Murder In My Mind,Kordhell,1,2022,1,21,2459,20,448843705.0,20,68,50,0,22.0,120,A#,Major,71,57,97,1,0,13,11,2022-01-21,1,mid,medium,high_energy,high_dance,party_song,2639.0,359075211.9,2529,19.922185291566706
Gangsta's Paradise,"Coolio, L.V.",2,1995,7,11,10624,17,1357608774.0,21,0,386,0,0.0,80,G#,Major,63,40,61,9,0,56,6,1995-07-11,28,high,slow,mid_energy,mid_dance,other,11048.0,1086088083.3000002,11031,21.02899073547566
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,2418,26,294352144.0,52,66,55,1,16.0,115,F,Minor,95,43,69,47,0,9,31,2022-11-13,1,mid,medium,mid_energy,high_dance,other,2634.0,235481959.60000002,2525,19.50028738065507
I Love You So,The Walters,1,2014,11,28,7536,7,972164968.0,44,19,135,0,6.0,76,A#,Major,58,46,67,65,0,13,4,2014-11-28,9,high,slow,mid_energy,mid_dance,other,7747.0,777732728.7000002,7715,20.695036069217117
Dark Red,Steve Lacy,1,2017,2,20,10431,7,920045682.0,71,53,181,0,10.0,172,F#,Major,60,77,78,45,0,12,6,2017-02-20,6,high,fast,high_energy,mid_dance,other,10753.0,736037589.4000001,10683,20.639933882209352
Say You Won't Let Go,James Arthur,1,2016,9,9,15722,16,2420461338.0,231,37,1509,0,13.0,99,A#,Major,40,45,56,69,0,9,5,2016-09-09,7,high,medium,mid_energy,low_dance,other,17528.0,1936370644.2,17462,21.607223994896696
The Hills,The Weeknd,1,2015,5,27,25744,4,1947371785.0,122,94,1992,0,18.0,136,Unknown,Minor,36,12,57,9,0,14,8,2015-05-27,8,high,fast,mid_energy,low_dance,sad_song,27974.0,1557900002.8000002,27858,21.38974649836865
Heart To Heart,Mac DeMarco,1,2019,5,10,1640,0,244658767.0,27,27,29,1,1.0,150,G#,Minor,90,64,14,67,35,11,10,2019-05-10,4,mid,fast,low_energy,high_dance,chill_song,1725.0,195727177.60000002,1696,19.315375014010815
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,0,68216992.0,0,0,0,0,0.0,92,A#,Minor,71,41,31,79,0,10,5,2023-04-07,0,low,medium,low_energy,high_dance,chill_song,34.0,54573597.0,34,18.038204256000316
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15,1845,16,223582566.0,20,8,30,2,0.0,95,C#,Major,77,72,87,17,0,7,5,2022-12-15,1,mid,medium,high_energy,high_dance,party_song,1921.0,178866238.9,1895,19.2252913310895
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,3301,30,471819764.0,72,64,64,6,3.0,102,B,Minor,83,58,83,21,0,10,5,2022-07-25,1,mid,medium,high_energy,high_dance,party_song,3540.0,377456144.3000001,3437,19.972107616811538
Low,SZA,1,2022,12,9,1911,0,272377463.0,23,71,14,0,9.0,145,Unknown,Minor,70,34,55,43,0,16,6,2022-12-09,1,mid,fast,mid_energy,mid_dance,other,2028.0,217902161.5,1948,19.422699397539677
Numb,Linkin Park,1,2003,3,24,20111,5,1361425037.0,39,0,7341,0,0.0,110,A,Major,50,24,86,0,0,64,4,2003-03-24,20,high,medium,high_energy,mid_dance,sad_song,27496.0,1089142041.2,27491,21.03179781017084
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24,1529,0,149778242.0,32,18,39,2,0.0,95,Unknown,Major,64,30,77,46,0,38,6,2023-02-24,0,low,medium,high_energy,mid_dance,sad_song,1620.0,119822746.50000001,1600,18.82466637817857
on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,615,2,116599790.0,22,82,8,0,9.0,94,B,Minor,68,81,82,53,0,9,13,2023-03-03,0,low,medium,high_energy,mid_dance,other,738.0,93279893.7,645,18.57425803942623
One Thing At A Time,Morgan Wallen,1,2022,12,2,811,4,148469433.0,11,58,5,0,21.0,142,G,Major,61,92,91,0,0,26,3,2022-12-02,1,low,fast,high_energy,mid_dance,other,910.0,118775627.9,827,18.815889663370957
Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,5730,10,497225336.0,108,16,197,3,165.0,145,F#,Minor,59,20,74,1,0,15,5,2022-08-05,1,high,fast,high_energy,mid_dance,sad_song,6229.0,397780842.8,6035,20.024553875674933
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,1,2023,3,3,356,4,88791109.0,4,20,0,0,0.0,121,F#,Minor,64,67,80,0,0,36,3,2023-03-03,0,low,fast,high_energy,mid_dance,other,384.0,71032923.2,360,18.301797090338184
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,1,2023,3,3,604,6,125917280.0,22,101,0,0,66.0,140,D#,Minor,66,43,76,49,0,12,3,2023-03-03,0,low,fast,high_energy,mid_dance,other,799.0,100733885.0,626,18.651135749325267
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23,1190,0,105062254.0,29,3,18,0,19.0,137,C#,Minor,84,44,67,8,0,11,6,2023-02-23,0,low,fast,mid_energy,high_dance,other,1259.0,84049922.2,1237,18.47006363718512
Everything I Love,Morgan Wallen,1,2023,1,31,579,0,95623148.0,11,54,0,0,103.0,104,G#,Major,56,72,85,0,0,15,3,2023-01-31,0,low,medium,high_energy,mid_dance,other,747.0,76498576.30000001,590,18.375925493060883
Heaven,Niall Horan,1,2023,2,17,1553,2,144584800.0,61,6,48,0,150.0,92,F,Major,57,68,76,7,0,33,3,2023-02-17,0,low,medium,high_energy,mid_dance,other,1820.0,115667995.5,1662,18.789376751514357
LET GO,Central Cee,1,2022,12,15,2301,20,298063749.0,49,23,110,0,8.0,146,D,Minor,74,51,45,86,0,21,38,2022-12-15,1,mid,fast,mid_energy,high_dance,chill_song,2511.0,238451231.3,2460,19.512817947765235
Sial,Mahalini,1,2023,1,23,134,4,166570053.0,4,6,0,0,23.0,120,D,Major,56,20,43,89,0,12,4,2023-01-23,0,low,medium,mid_energy,mid_dance,chill_song,171.0,133256056.20000002,138,18.93092652364127
I Wrote The Book,Morgan Wallen,1,2023,1,31,430,0,83021468.0,15,17,0,0,0.0,144,D,Major,68,83,81,9,0,8,4,2023-01-31,0,low,fast,high_energy,mid_dance,other,462.0,66417217.400000006,445,18.234609794964058
